overview,headline,text,sectionLabel,title
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Understand what a stage name can do for you."," A stage name can help you accomplish a number of things, which all can influence how you decide on your name.



Branding: A stage name can help you brand your performance persona, giving you a separate identity to develop as a brand.

Separation of personal and professional life: A stage name will be a very public name, possibly a household name. While some people might still know your real name, keeping your real name separate from your stage name can afford you some level of privacy.

Differentiation: If your real name is very common, a stage name can help you stand out and be more memorable.

Prejudice considerations: Some people have used stage names in the past in order to decrease immediate reactions of racism, anti-Semitism or other forms of prejudice. Luckily, this is less often the case today. Similarly, some women may have avoided a hyphenated name because it might indicate they’re married, which unfortunately some consider to be detrimental to their careers.;
",Choosing a Stage Name,How to Pick a Stage Name1
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Examine your strengths as a performer."," It's easy to spend hours focused on why you aren't booking (too old, too short, too fat, too thin, not classic enough, not edgy enough), but focusing on these things won't get you more work. Instead, focus on what makes you a good performer.;
",Steps,How to Get More Burlesque Gigs
" Burlesque in the U.S. is one of the few art forms that promotes the idea that ""anyone can do it."" But in saturated markets like New York City and Chicago, two years into the business, many burlesque performers find themselves reassessing the profitability. If you are a performer looking to recharge your career or thinking of becoming a performer, take a look at the tips below to learn how you can book more Burlesque Gigs. This article assumes you have already begun working as a burlesque performer and the steps outlined are for the early career to mid-career professional. ","
Write down what your weak points are."," Yep, time to be honest with yourself. If you have no idea what your weak points are, then ask a friend who will be honest with you. Not good at dancing? Take a dance class. Not good at being on time? Learn to pack the night before and set your alarm to remind you to be at a show 30 minutes early.

",Steps,How to Get More Burlesque Gigs
" This article describes a general idea on how to get a record deal from Phantom City Studio. In order to get a record deal and get signed by a record label you must first create a music demo. The word demo is shortened from the word ""demonstration"". A music demo is used to demonstrate your artistic abilities to the A&amp;R representatives of record labels. Many unsigned bands and artists record demos in order to obtain a recording contract. Whether you are a rock band, hip hop artist, singer, rapper, songwriter, producer, or musician,  your music demo submission may get you a record deal  with Phantom City Studio. ","
Practice your material until you can perform each song perfectly.",";
",Steps,How to Get a Record Deal With Phantom City Studio
" Ticketmaster is a notorious and known website where people can purchase tickets to different shows of any kind without having to go to an actual box office. If you're wanting to bring your kids to an ice skating show, circus, or get tickets for a pop concert, it's highly recommended to use online sites and be prepared rather than the last minute. ","
Create a Ticketmaster account."," This will enable you to do more than just recovering passwords and order histories, etc. It helps you save personal information (such as credit/debit card information), as well as the ability to print out receipts and tickets as soon as they are purchased.
",Steps,How to Buy on Ticketmaster
" Your dream of becoming a famous artist may not be as far-fetched as it might seem: child prodigy Sir John Everett Millais was one of the founders of the Pre-Raphaelite  [1]   movement, and won a silver medal at the Society of Arts at age nine  [2]  . Also, Pablo Picasso, co-founder of the Cubist  [3]   movement, was regarded as a boy genius.  [4]   Even today, young artists such as Akiane Kramarik are heralded as prodigies.  [5]   If you have what it takes, your name may be destined to be remembered throughout the ages. Ready to learn how? Read on! ","
Practice."," Being called by the muse is a wonderful thing, without a doubt, but without the technical abilities to realize your vision, you won't get very far. Whatever your chosen medium or media, become an expert in every part of it.


Set aside an hour or more each day to devote to nothing but practicing your technique.
Focus especially on those areas that are the weakest for you, but build your strengths as well.
Take advantage of the communities and resources that you can find. Artist supply manufacturers, and art stores themselves, often have free literature, tutorials, videos, and websites that are loaded with tips, techniques, and more.
Some stores even offer weekend training seminars, where you can not only pick up some new skills, you'll also meet other artists.;
",Building Your Skills,How to Become a Famous Artist
" According to the Bureau of Labor Statistics, the average American household spent a little more than $2,500 on entertainment in 2011. If you are one of the many who spend too much, here are some easy steps to help you reduce your entertainment expenses. ","
Take a good look at your food budget."," Restaurant eating accounted for the largest portion of America's discretionary spending in 2009, eating up $392 billion. Often, a large part of what is spent on food is more about entertainment than to provide appropriate nutrition. Instead of making “going out to dinner” a family activity, make cooking dinner together at home the evening's entertainment. Home cooked food is much less expensive and can be a lot more fun! Some entertaining ways to cook at home include:


Baking and decorating cookies or a cake with younger children. Kids love to ice and decorate cookies and cakes. Buy plenty of sprinkles, colored icings, and small candies and let them go to work.
Teaching older children a family recipe by preparing it together. Many older children are interested in learning how to prepare family favorites, and what better way to learn than by preparing them together?
Making individual or personal pizzas. Using bagels, flour tortillas, French bread, or pizza dough, make a personal size pizza for each family member and allow everyone to top their own pies from a selection of vegetables, cheeses, meats, etc.
Experimenting with new things. For example, if you have always been interested in Indian cuisine, use curry in your cooking. Find new ways to prepare favorite vegetables or test out new recipes. Whatever your passion, explore it with your family by preparing a meal or a snack. You could have each night of the week follow a theme such as Italian night or picnic at home night.;
",Steps,How to Reduce Entertainment Expenses
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read the classics from 1600-1913."," Though a large amount of material is covered in these measly 300 years, reading the books from the time period when the novel emerged until the beginning of World War I will give you a sense of the progress that the novel and other works had made throughout the Romantic and Victorian periods, as well as an understanding of the realism that was the traditional mode for novels which was then turned on its head with the advent of Modernism and the disillusionment that came from WWI. Here's a list to get you started:



Don Quixote by Cervantes 1605 (part 1), 1615 (part 2)
""Taming of the Shrew,"" Romeo and Juliet, ""A Midsummer Night's Dream,"" ""The Merchant of Venice,"" ""Much Ado About Nothing,"" ""As You Like It,"" ""Julius Caesar,"" Hamlet, ""Othello,"" ""King Lear,"" and ""Macbeth"" by William Shakespeare (1593, 1594, 1595, 1596, 1598, 1599, 1599, 1600, 1604, 1605, 1605)

Gulliver's Travels by Jonathan Swift (1726)

Pride and Prejudice by Jane Austen (1813)

Faust by Johann Wolfgang von Goethe (1832)

Le Père Goriot by Honoré de Balzac (1835)

Dead Souls by Nikolai Gogol (1842)

Wuthering Heights by Emily Brontë (1847)

Moby-Dick by Herman Melville (1851)

Madame Bovary by Gustave Flaubert (1856)

Great Expectations by Charles Dickens (1861)

War and Peace and Anna Karenina by Leo Tolstoy (1869, 1877)

Heart of Darkness by Joseph Conrad (1899)

Crime and Punishment and The Brothers Karamazov by Fyodor Dostoevsky (1866, 1880)

Middlemarch by George Eliot (1871)

",Reading the Classics,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read the classics from 1914-1995."," This time period spans the advent of Modernism, an experimental form of fiction, as well as a rebellion against traditional narratives. Reading the classics of this time period will help you gain an understanding of the dramatic transformation of literature in the 20th century. Here's a list to get you going:



In Search of Lost Time by Marcel Proust (1913–27)

Ulysses by James Joyce (1922)

The Magic Mountain by Thomas Mann (1924)

The Great Gatsby by F. Scott Fitzgerald (1925)

The Trial by Franz Kafka (1925)

Mrs Dalloway and To the Lighthouse by Virginia Woolf (1925, 1927)

The Sound and the Fury by William Faulkner (1929)

The Stranger by Albert Camus (1942)

The Fountainhead by Ayn Rand (1943)

Nineteen Eighty-Four by George Orwell (1949)

The Catcher in the Rye by J.D. Salinger (1951)

Invisible Man by Ralph Ellison (1952)

The Sun Also Rises and The Old Man and the Sea by Ernest Hemingway (1926, 1952)
""The Lord of The Rings"" by J.R.R. Tolkien (1954, 1955)

Lolita by Vladimir Nabokov (1955)

Pedro Páramo by Juan Rulfo (1955)

Things Fall Apart by Chinua Achebe (1958)

Rabbit, Run by John Updike (1960)

To Kill a Mockingbird by Harper Lee (1960)

The Golden Notebook by Doris Lessing (1962)

The Bell Jar by Sylvia Plath (1963)

One Hundred Years of Solitude by Gabriel García Márquez (1967)

Slaughterhouse-Five by Kurt Vonnegut (1969)

",Reading the Classics,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read more contemporary classics from 1980 to the present."," Though these books haven't stood the test of decades of time, there are still a number of contemporary novels that are so popular that it may feel like everyone has read them. In fact, reading these books may make you feel the most well-read because people will be talking about them the most. Here are some books to get you started:



Midnight's Children by Salman Rushdie (1981)

The Handmaid's Tale by Margaret Atwood (1984)

Beloved by Toni Morrison (1987)

The Wind-Up Bird Chronicle by Haruki Murakami (1997)

American Pastoral by Philip Roth (1997)
The God of Small Things"" by Arundhati Roy (1997)

Disgrace by J. M. Coetzee (1999)

White Teeth by Zadie Smith (2000)

Atonement by Ian McEwan (2001)

The Amazing Adventures of Kavalier and Klay by Michael Chabon (2001)
Everything is Illuminated by Johnathan Safran Foer (2002)

Middlesex by Jeffery Eugenides

The Kite Runner by Khaled Hosseini (2003)

The Known World by Edward P. Jones (2003)

Gilead by Marilynne Robinson (2004)
The Brief Wondrous Life of Oscar Wao by Junot Diaz (2007)

2666 by Roberto Bolaño (2008)

Swamplandia! by Karen Russell (2011)

",Reading the Classics,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read short stories."," Short stories are an incredible genre all their own, and if you really want to be well-read, then you have to read the short stories of classic masters as well as some contemporary short stories. For short stories, it's more important to read the works of a particular author than a collection, so here is a list of classic short story writers as well as more contemporary writers that you have to check out:



Classic short story masters (1600-1950): Edgar Allan Poe, Anton Chekhov, Ernest Hemingway, Jorge Luis Borges, Kafka, Isaac Babel, John Updike, Katherine Mansfield, Eudora Welty, and Ray Bradbury.

Contemporary short story masters: (1950-Present): Flannery O'Connor, Raymond Carver, Donald Barthelme, Tim 'O Brien, George Saunders, Jhumpa Lahiri, Junot Diaz, Z.Z. Packer, Joyce Carol Oates, and Denis Johnson.

Classic Short Story Collections:


In Our Time by Ernest Hemingway (1925)

A Good Man is Hard to Find by Flannery O'Connor (1953)

What We Talk About When We Talk About Love by Raymond Carver (1981)

Jesus' Son by Denis Johnson (1992)

Interpreter of Maladies by Jhumpa Lahiri (1999)



",Becoming Well-Read in Different Genres,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read plays."," If you want to be well-read, then you also have to read the works of classic playwrights. Though Shakespeare is the playwright you should know the best, he has been previously listed. However, there are other contemporary and not-so-contemporary plays that you should read if you want to call yourself well-read. Check these out:


Everything by Shakespeare, including Macbeth, Romeo and Juliet, and Much Ado About Nothing (1606, 1597, 1599)

Hedda Gabler and A Doll's House by Henrik Ibsen (1890, 1879)

The Importance of Being Earnest by Oscar Wilde (1895)

Cyrano de Bergerac by Edmund Rostand (1897)

The Cherry Orchard and Uncle Vanya by Chekhov (1904, 1897)

Pygmalion by George Bernard Shaw (1912)

Our Town by Thornton Wilder (1938)

Death of a Salesman and The Crucible by Arthur Miller (1949, 1953)

Waiting for Godot by Samuel Beckett (1949)

Twelve Angry Men by Reginald Rose (1954)

A Streetcar Named Desire, The Glass Menagerie, Cat on a Hot Tin Roof by Tennessee Williams (1947, 1944, 1955)

No Exit by John-Paul Sartre (1944)

Inherit the Wind by Jerome Lawrence (1955)

Long Day's Journey into Night and The Iceman Cometh by Eugene O'Neill (1956, 1946)

A Raisin in the Son by Lorraine Hansberry (1959)

Who's Afraid of Virginia Woolf? by Edward Albee (1963)

Rosencrantz and Guildenstern are Dead by Tom Stoppard (1966)

Betrayal by Harold Pinter (1978)

",Becoming Well-Read in Different Genres,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read poetry."," Though the people around you may be less likely to talk about poetry unless you run in well-read circles, it's important to familiarize yourself with both classic and contemporary poets so that you can be part of the conversation. Here are some books to get you started:



Shakespeare's Sonnets by William Shakespeare (1609)

Paradise Lost by John Milton (1667)

The Complete Poems by John Keats (1815)

Leaves of Grass by Walt Whitman (1855)

The Collected Poems of Langston Hughes by Langston Hughes

The Poetry of Robert Frost by Robert Frost

The Collected Poems of Emily Dickinson by Emily Dickinson

The Waste Land and Other Poems by T. S. Eliot (1922)

Twenty Love Poems and a Song of Despair by Pablo Neruda (1924)

E. E. Cummings: Complete Poems, 1904 -1962 by E. E. Cummings

Howl and Other Poems by Allen Ginsberg (1956)

Ariel by Sylvia Plath (1965)

The Complete Poems, 1927 - 1979 by Elizabeth Bishop

Opened Ground: Selected Poems, 1966 - 1996 by Seamus Heaney

",Becoming Well-Read in Different Genres,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read non-fiction."," If you really want to be well-read, then you can't just read stuff that people made up. You'll have to read some non-fiction too so that you know what's going on in the world of politics, history, popular science, and whatever the heck else is going on in the world. Here are the different types of non-fiction that you should familiarize yourself with:


History
Politics
Magazines
Memoirs
Biographies
The news

",Becoming Well-Read in Different Genres,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Read popular fiction and non-fiction."," If you really want to know what everyone is talking about, then you can't just sit around reading Virgil. You'll have to know what's going on in the modern world too, and to read those beach reads or plane reads or Oprah's book club has been talking about. How do you know what to read? Well, check out what people are reading on planes, beaches, etc, and also check out the New York Times bestseller list to check out which books are on the list. Here are some popular books that have all been published in the last twenty years that nearly everyone has read these days:


""The Wheel of Time"" series by Robert Jordan
The Harry Potter series by J.K. Rowling
Any novel by Nicholas Sparks
Any novel by John Grisham
The Hunger Games trilogy by Suzanne Collins

The Da Vinci Code by Dan Brown

Bonfire of the Vanities by Tom Wolfe

Fear of Flying by Erica Jong
Books by Bernard Cornwell
The ""A Song of Ice and Fire"" series by George R.R. Martin

The Year of Magical Thinking by Joan Didion

A Heartbreaking Work of Staggering Genius by Dave Eggers

Freakonomics by Steven Levitt

Eat, Pray, Love by Elizabeth Gilbert

Outliers and The Tipping Point by Malcom Gladwell
The Twilight series by Stephanie Meyer

The Alchemist by Paolo Coelho

The Girl With the Dragon Tattoo series by Stieg Larsson

",Becoming Well-Read in Different Genres,How to Be Well Read
" If you want to be well-read, then, in the words of William Faulkner, you'll have to ""Read, read, read. Read everything..."" You can start at the very beginning, or just make your way down an eclectic list of books that you'd like to read. What's important is that you pick books that are lively, challenging, and which broaden your horizons. If you want to be well-read, here are some tips and recommendations to get you started. ","
Set goals."," How can setting goals make reading more fun, you may ask? Well, because you'll feel good about yourself if you accomplish something, that's why. Start small: say, you want to read one book a month. Then go down to a book every two weeks. When you're officially addicted to reading, you can read one book a week -- or even two. Make a list of books and stick to them and you'll be reading more and more in no time at all.


Setting goals will also keep you from wasting your time in less productive endeavors. Let's say you've aimed to finish Ulysses by the weekend but there's a marathon of Bad Girls Club on. Bye bye bad girls, hello culture.

",Making Reading More Fun,How to Be Well Read
" Finding the nearest casino is challenging, especially if casino gambling is not legal in your area. However, there are various means you may use to locate a casino. The following is a guide on how to find the nearest casino. ","
Listen to radio advertisements.","


Listen to local radio broadcasts for advertisements that reference casinos in your area.
If none are in your area, listen to national radio broadcasts for advertisements of casinos in other areas.
Note the location that is mentioned in each advertisement that involves a casino.
If no locations are mentioned, note any additional contact information, such as a website or phone number. Use that information to find out where the casinos are.;
",Listening to the Radio,How to Find the Nearest Casino1
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Choose a name that reflects your persona.", Your stage name is a way to express yourself. What do you want your name to signify? Think about how a stage name might be able to channel your performance persona.,Choosing a Stage Name,How to Pick a Stage Name1
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Have a story behind your name."," Whatever your stage name, people will likely want to know how you decided to call yourself that. If it’s an uninteresting story, then perhaps think about making up a more exciting story to go with your name.",Choosing a Stage Name,How to Pick a Stage Name1
" Stage names are used by all types of performers, from musicians, actors and roller derby athletes to burlesque dancers, belly dancers, and exotic dancers. A stage name can help a performer craft and reflect their public persona, or connect with the audience more effectively. A stage name can also help a performer maintain a separation between their public life and their personal life. ","
Do research about your name."," Look online and in name books to learn the meaning of the name you’ve chosen. Learn the history of the name. Does the name’s meaning and history reflect what you want it to mean?

",Choosing a Stage Name,How to Pick a Stage Name1
